serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
3422,"SAIC Volkswagen Automotive Co., Ltd","Heze City, Shandong Province","Yuncheng Wanjia Automobile Sales and Service Co., Ltd","200 meters east of Guolin Community, Yuncheng County Industrial Park, Heze City, Shandong Province",SAIC Volkswagen Automotive,Heze
3423,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Dedao Automobile Sales and Service Co., Ltd","The intersection of the West 200th Ring Road and Shiwu High-speed Railway in the <>th District of Zhengzhou City, Henan Province is <> meters north of the road",SAIC Volkswagen Automotive,Zhengzhou
3424,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Dongjin Automobile Sales and Service Co., Ltd","Dazhongyuan Auto City, Zhongyuan District, Zhengzhou City, Henan Province ((3000 meters west of the West Fourth Ring Road of Zhengshang Road...",SAIC Volkswagen Automotive,Zhengzhou
3425,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Hengxin Delongzhong and Automobile Sales and Service Co., Ltd","The intersection of Wenzhi Road and Dingshang Street, Dawangzhuang Village, Shibalihe Town, Guancheng Hui Nationality District, Zhengzhou City, Henan Province...",SAIC Volkswagen Automotive,Zhengzhou
3426,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Henan Tianshuncheng Automobile Sales and Service Co., Ltd","Longzihu Street Office, Zhengdong New District, Zhengzhou City, Henan Province, north of Laoxuean Village",SAIC Volkswagen Automotive,Zhengzhou
3427,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Julong Industrial Development Co., Ltd","The intersection of Shangdu Road and Tongtai Road in Zhengdong New District, Zhengzhou City, Henan Province is 200 meters south of the road west",SAIC Volkswagen Automotive,Zhengzhou
3428,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Dongtai Automobile Sales and Service Co., Ltd","The middle section of West Ring Road, Zhongyuan District, Zhengzhou City, Henan Province",SAIC Volkswagen Automotive,Zhengzhou
3429,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Henan Yuhua Shanglian Automobile Sales and Service Co., Ltd","No. 118, Chengdong Road, Guancheng Hui Nationality District, Zhengzhou City, Henan Province",SAIC Volkswagen Automotive,Zhengzhou
3430,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Henan Yugang Huacheng Automobile Sales and Service Co., Ltd","No. 148, Huayuan Road, Jinshui District, Zhengzhou City, Henan Province",SAIC Volkswagen Automotive,Zhengzhou
3431,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Henan Anji Automobile Sales Co., Ltd","100 meters north of the intersection of Hanghai East Road and Seventh Avenue in Zhengdong New District, Zhengzhou City, Henan Province",SAIC Volkswagen Automotive,Zhengzhou
3432,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Boye Automobile Sales and Service Co., Ltd","1st floor, Building 3, No. 1, Jinqiao Road, Qiaonan New District, Huiji District, Zhengzhou City, Henan Province",SAIC Volkswagen Automotive,Zhengzhou
3433,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Julong Automobile Sales and Service Co., Ltd","Zhengzhou City, Zhengdong New District, Boxue Road, Longhai Road intersection, West Weijia Auto Yuan Park",SAIC Volkswagen Automotive,Zhengzhou
3434,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhongmu Anji Automobile Sales and Service Co., Ltd","Hall 6, Central Auto Trade Port, Zhongmu County Automobile Industry Cluster, Zhengzhou City, Henan Province",SAIC Volkswagen Automotive,Zhengzhou
3435,"SAIC Volkswagen Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Dongtai Runtong Automobile Sales and Service Co., Ltd","South section of Wanshan South Road, Xingyang City, Zhengzhou City, Henan Province (100 meters north of the intersection of Zhongyuan Road, west of the road)",SAIC Volkswagen Automotive,Zhengzhou
3436,"SAIC Volkswagen Automotive Co., Ltd","Kaifeng City, Henan Province","Kaifeng Jinyuan Automobile Sales and Service Co., Ltd","100 meters east of Jinming Avenue and Tokyo Avenue Center Flower Bed East, Jinming District, Kaifeng City, Henan Province",SAIC Volkswagen Automotive,Kaifeng
3437,"SAIC Volkswagen Automotive Co., Ltd","Kaifeng City, Henan Province","Kaifeng Boyu Automobile Sales and Service Co., Ltd","Intersection of Jiying Street and Weidu Road, Kaifeng City, Henan Province",SAIC Volkswagen Automotive,Kaifeng
3438,"SAIC Volkswagen Automotive Co., Ltd","Luoyang City, Henan Province","Luoyang Zhongjie Automobile Co., Ltd","Luoyang City, Henan Province, Daihe Hui Nationality District, Qiming South Road South Road West Famous Car Garden",SAIC Volkswagen Automotive,Luoyang
3439,"SAIC Volkswagen Automotive Co., Ltd","Pingdingshan City, Henan Province","Pingdingshan Weijia Zhongwang Automobile Sales and Service Co., Ltd","Yingbin Office, Xincheng District, Pingdingshan City, Henan Province, south Song Village, Huiyang Road, east Pinggao Electric Appliance, west side",SAIC Volkswagen Automotive,Pingdingshan
3440,"SAIC Volkswagen Automotive Co., Ltd","Pingdingshan City, Henan Province","Pingdingshan Mingyi Automobile Sales Co., Ltd","South of the east section of Jianshe Road, Hongzhuang Yangxiang, Ye County, Pingdingshan City, Henan Province",SAIC Volkswagen Automotive,Pingdingshan
3441,"SAIC Volkswagen Automotive Co., Ltd","Anyang City, Henan Province","Anyang Fulford Automobile Sales and Service Co., Ltd","No. 263, East Road, South Section of Tiexi Road, Long'an District, Anyang City, Henan Province",SAIC Volkswagen Automotive,Anyang
3442,"SAIC Volkswagen Automotive Co., Ltd","Anyang City, Henan Province","Anyang Mass Transportation Co., Ltd","South of the east section of Wenchang Avenue, High-tech Zone, Anyang City, Henan Province",SAIC Volkswagen Automotive,Anyang
3443,"SAIC Volkswagen Automotive Co., Ltd","Anyang City, Henan Province","Anyang Weijia Zhongshun Automobile Sales and Service Co., Ltd","In the courtyard of Yubei Auto Market at the intersection of Xiangge Avenue and Guangming Road, Wenfeng District, Anyang City, Henan Province",SAIC Volkswagen Automotive,Anyang
3444,"SAIC Volkswagen Automotive Co., Ltd","Anyang City, Henan Province","Huixian Shangzhong Automobile Sales and Service Co., Ltd","The southwest corner of the intersection of Zhongzhou Avenue and East Ring Road in Huixian New District, Anyang City, Henan Province",SAIC Volkswagen Automotive,Anyang
3445,"SAIC Volkswagen Automotive Co., Ltd","Hebi City, Henan Province","Hebi Yuguang Automotive Technology Co., Ltd","East side of Taishan Road, Qibin District, Hebi City, Henan Province",SAIC Volkswagen Automotive,Hebi
3446,"SAIC Volkswagen Automotive Co., Ltd","Hebi City, Henan Province","Hebi Yishanxing Automobile Sales and Service Co., Ltd","The intersection of Lijiang East Road and East Expressway Road, Qibin District, Hebi City, Henan Province",SAIC Volkswagen Automotive,Hebi
3447,"SAIC Volkswagen Automotive Co., Ltd","Xinxiang City, Henan Province","Xinxiang Shenzhong Automobile Sales and Service Co., Ltd","2000,<> meters north of the intersection of Xinzhong Avenue and North Ring Road in Xinxiang City, Henan Province",SAIC Volkswagen Automotive,Xinxiang
3448,"SAIC Volkswagen Automotive Co., Ltd","Xinxiang City, Henan Province","Xinxiang Dongan Xinzhong Automobile Sales and Service Co., Ltd","The northeast corner of the Xinchang North Line and Xiaofan Line in Xiaodian Town, Hongqi District, Xinxiang City, Henan Province",SAIC Volkswagen Automotive,Xinxiang
3449,"SAIC Volkswagen Automotive Co., Ltd","Xinxiang City, Henan Province","Xinxiang Shangzhong Automobile Sales and Service Co., Ltd","No. 148, Jiefang Avenue (South), Weibin District, Xinxiang City, Henan Province",SAIC Volkswagen Automotive,Xinxiang
3450,"SAIC Volkswagen Automotive Co., Ltd","Xinxiang City, Henan Province","Xinxiang Tianzhong Automobile Sales and Service Co., Ltd","West of Xinfei Avenue in Xinxiang Development Zone, Henan Province, south of the East Meng River",SAIC Volkswagen Automotive,Xinxiang
3451,"SAIC Volkswagen Automotive Co., Ltd","Xinxiang City, Henan Province","Yuanyang County Dongyu Automobile Sales and Service Co., Ltd","Dongyuanyang International Automobile Logistics Park, Zhongxing Street, Yuanyang County, Xinxiang City, Henan Province",SAIC Volkswagen Automotive,Xinxiang
3452,"SAIC Volkswagen Automotive Co., Ltd","Jiaozuo City, Henan Province","Jiaozuo Guohua Automobile Sales and Service Co., Ltd","400 meters east of South Village, Jianshe East Road Wall in Shanyang District, Jiaozuo City, Henan Province",SAIC Volkswagen Automotive,Jiaozuo
3453,"SAIC Volkswagen Automotive Co., Ltd","Jiaozuo City, Henan Province","Jiaozuo Quanda Automobile Sales and Service Co., Ltd","No. 2666, Shenzhou Road, High-tech Zone, Jiaozuo City, Henan Province",SAIC Volkswagen Automotive,Jiaozuo
3454,"SAIC Volkswagen Automotive Co., Ltd","Puyang City, Henan Province","Puyang Longrun Automobile Sales and Service Co., Ltd","106 meters south of the intersection of Huanghe Road and National Highway 300, Hualong District, Puyang City, Henan Province",SAIC Volkswagen Automotive,Puyang
3455,"SAIC Volkswagen Automotive Co., Ltd","Puyang City, Henan Province","Puyang Huizhong Automobile Sales and Service Co., Ltd","Hualong District, Puyang City, Henan Province, 106 meters south of National Road 400 and Pufan Expressway Interchange, Road East",SAIC Volkswagen Automotive,Puyang
3456,"SAIC Volkswagen Automotive Co., Ltd","Puyang City, Henan Province","Puyang Weijia Zhonglong Automobile Sales Co., Ltd","The southwest corner of the intersection of Zhongyuan Road and Huaxing Road, Puyang High-tech Development Zone, Henan Province, Weijia Auto...",SAIC Volkswagen Automotive,Puyang
3457,"SAIC Volkswagen Automotive Co., Ltd","Xuchang City, Henan Province","Xuchang Jiachen Automobile Sales and Service Co., Ltd","The intersection of the North Outer Ring Road and Laodong Road in Weidu District, Xuchang City, Henan Province, is 100 meters west of the road north",SAIC Volkswagen Automotive,Xuchang
3458,"SAIC Volkswagen Automotive Co., Ltd","Xuchang City, Henan Province","Xuchang Beyond Automobile Sales and Service Co., Ltd","Xuzhou Road Auto Park Area B, Dongcheng District, Xuchang City, Henan Province (Zhengtong Auto Trade City)",SAIC Volkswagen Automotive,Xuchang
3459,"SAIC Volkswagen Automotive Co., Ltd","Xuchang City, Henan Province","Xuchang Jitong Automobile Sales and Service Co., Ltd","The middle section of Zhongxiu Avenue, Changge City, Xuchang City, Henan Province",SAIC Volkswagen Automotive,Xuchang
3460,"SAIC Volkswagen Automotive Co., Ltd","Luohe City, Henan Province","Luohe Xinyule Automobile Sales and Service Co., Ltd","The north side of the intersection of National Highway 107 and Luowu Road in Yuanhui District, Luohe City, Henan Province",SAIC Volkswagen Automotive,Luohe
3461,"SAIC Volkswagen Automotive Co., Ltd","Sanmenxia City, Henan Province","Sanmenxia Jinlida Automobile Sales and Service Co., Ltd","200 meters south of the Yellow River Bridge in Sanmenxia Development Zone, Henan Province",SAIC Volkswagen Automotive,Sanmenxia
3462,"SAIC Volkswagen Automotive Co., Ltd","Nanyang City, Henan Province","Nanyang Weijia Zhonglong Automobile Sales and Service Co., Ltd","The southeast corner of the intersection of Jianshe West Road and Bailixi Road in Nanyang City, Henan Province",SAIC Volkswagen Automotive,Nanyang
3463,"SAIC Volkswagen Automotive Co., Ltd","Nanyang City, Henan Province","Nanyang Hengkang Jincheng Automobile Service Co., Ltd","312 meters east of the intersection of National Road 500 and Dushan Avenue in Wancheng District, Nanyang City, Henan Province",SAIC Volkswagen Automotive,Nanyang
3464,"SAIC Volkswagen Automotive Co., Ltd","Nanyang City, Henan Province","Nanyang Hengkang Automobile Service Co., Ltd","No. 779, Middle Changjiang Road, Wancheng District, Nanyang City, Henan Province",SAIC Volkswagen Automotive,Nanyang
3465,"SAIC Volkswagen Automotive Co., Ltd","Shangqiu City, Henan Province","Shangqiu Hengchang Automobile Sales and Service Co., Ltd","Shangqiu City, Henan Province, Liangyuan District Minzhu West Road and Jinqiao Road intersection 200 meters north of the road east",SAIC Volkswagen Automotive,Shangqiu
3466,"SAIC Volkswagen Automotive Co., Ltd","Shangqiu City, Henan Province","Shangqiu Lecheng Automobile Sales and Service Co., Ltd","Shangqiu Development Zone, Henan Province, 200 meters south of the intersection of Beihai Road and Fushang Avenue, west of the road",SAIC Volkswagen Automotive,Shangqiu
3467,"SAIC Volkswagen Automotive Co., Ltd","Shangqiu City, Henan Province","Yongcheng Yijia Automobile Sales and Service Co., Ltd","The southern section of Mangshan Road, Yongcheng Industrial Cluster, Shangqiu City, Henan Province, is Tian Lian Auto City",SAIC Volkswagen Automotive,Shangqiu
3468,"SAIC Volkswagen Automotive Co., Ltd","Xinyang City, Henan Province","Xinyang Rongsheng Automobile Sales Co., Ltd","East of Xin30 Street, Xinyang City, Pingqiao District, Xinyang City, Henan Province, and north of Nanjing Road",SAIC Volkswagen Automotive,Xinyang
3469,"SAIC Volkswagen Automotive Co., Ltd","Xinyang City, Henan Province","Xinyang Runzhou Automobile Sales and Service Co., Ltd","The intersection of National Highway 312 and Beijing-Hong Kong-Macao Expressway in Pingqiao District, Xinyang City, Henan Province is 200 meters west",SAIC Volkswagen Automotive,Xinyang
3470,"SAIC Volkswagen Automotive Co., Ltd","Zhoukou City, Henan Province","Zhoukou Weijia Demosistozhi Automobile Sales and Service Co., Ltd","Intersection of Traffic Road and East Ring Road in Chuanhui District, Zhoukou City, Henan Province",SAIC Volkswagen Automotive,Zhoukou
3471,"SAIC Volkswagen Automotive Co., Ltd","Zhoukou City, Henan Province","Zhoukou Zhongde Automobile Sales and Service Co., Ltd","North of the east section of Taiqing Road, Chuanhui District, Zhoukou City, Henan Province",SAIC Volkswagen Automotive,Zhoukou
3472,"SAIC Volkswagen Automotive Co., Ltd","Zhumadian City, Henan Province","Zhumadian Tianhao Automobile Sales and Service Co., Ltd","Intersection of Zhongyuan Avenue and Beiquan Road, Yicheng District, Zhumadian City, Henan Province",SAIC Volkswagen Automotive,Zhumadian
3473,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Wuhan Huiding Automobile Sales and Service Co., Ltd","East of Guanggu 1st Road and South of Gaoxin 4th Road, East Lake New Technology Development Zone, Wuhan City, Hubei Province",SAIC Volkswagen Automotive,Wuhan
3474,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Wuhan Hengxin Chuxiong Automobile Sales and Service Co., Ltd","No. 12, Dongjiadian Village, Happy Ling, next to Hanyang Avenue, Hanyang District, Wuhan City, Hubei Province",SAIC Volkswagen Automotive,Wuhan
3475,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Wuhan Youzhiyou Automobile Trade Service Co., Ltd","No. 8, Longyang Avenue, Hanyang District, Wuhan City, Hubei Province",SAIC Volkswagen Automotive,Wuhan
3476,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Wuhan Youzhi Youqian Automobile Trading Co., Ltd","No. 2, Xudong 2nd Road, Wuchang District, Wuhan City, Hubei Province",SAIC Volkswagen Automotive,Wuhan
3477,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Wuhan Hengxin Zhonghe Automobile Sales and Service Co., Ltd","1-1-1, Huazhong Agricultural University, Shishan Street, Hongshan District, Wuhan, Hubei Province",SAIC Volkswagen Automotive,Wuhan
3478,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Hubei Dexi Automobile Trading Co., Ltd","Hongxia Village, Qingling Township, Hongshan District, Wuhan City, Hubei Province, Huazhong Power Car Ecological Industrial Park Phase II 1-9...",SAIC Volkswagen Automotive,Wuhan
3479,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Wuhan Jiuding Shangzhong Automobile Co., Ltd","The intersection of Huanhu Middle Road and Tianyuan Road, Jinyinhu Street, Dongxihu District, Wuhan City, Hubei Province",SAIC Volkswagen Automotive,Wuhan
3480,"SAIC Volkswagen Automotive Co., Ltd","Wuhan City, Hubei Province","Wuhan Zhongyuanda Automobile Sales Co., Ltd","No. 2, Yintan Road, Jiangjun Road, Dongxihu District, Wuhan, Hubei Province",SAIC Volkswagen Automotive,Wuhan
3481,"SAIC Volkswagen Automotive Co., Ltd","Huangshi City, Hubei Province","Huangshi Dezhong Automobile Sales and Service Co., Ltd","South of Daqi Road and west of Shengming Road, Jinshan Industrial New Zone, Huangshi City, Hubei Province",SAIC Volkswagen Automotive,Huangshi
3482,"SAIC Volkswagen Automotive Co., Ltd","Shiyan City, Hubei Province","Shiyan Long Jidezhong Automobile Sales and Service Co., Ltd","Zhejiang Road, Zhejiang Road, Shiyan City, Hubei Province",SAIC Volkswagen Automotive,Shiyan
3483,"SAIC Volkswagen Automotive Co., Ltd","Yichang City, Hubei Province","Yichang Hengxin Zhonghe Automobile Sales and Service Co., Ltd","No. 189, East Station Road, Wujiagang District, Yichang City, Hubei Province",SAIC Volkswagen Automotive,Yichang
3484,"SAIC Volkswagen Automotive Co., Ltd","Yichang City, Hubei Province","Yichang Hongshun Automobile Sales and Service Co., Ltd","Four groups in Wulong Village, Dianjun District, Yichang City, Hubei Province",SAIC Volkswagen Automotive,Yichang
